genre,release_year,playtime_forever
Action,2012,1099062852
Adventure,2011,224347981
Animation &amp; Modeling,2015,1354685
Audio Production,2014,466246
Casual,2015,82515351
Design &amp; Illustration,2012,1947406
Early Access,2013,120366296
Education,2013,342804
Free to Play,2013,147728688
Indie,2006,452672790
Massively Multiplayer,2013,134948062
Photo Editing,2014,61659
RPG,2011,230779412
Racing,2015,37910911
Simulation,2006,451105400
Software Training,2014,423328
Sports,2015,41795973
Strategy,2013,147443526
Utilities,2014,2725654
Video Production,2015,1671790
Web Publishing,2012,1947406
